@relation glass
@attribute RI real [1.51115, 1.53393]
@attribute Mg real [0.0, 4.49]
@attribute Si real [69.81, 75.41]
@attribute TypeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Mg, Si
@outputs TypeGlass
@data
1.52213,3.82099,71.77,1
1.519761,3.57853,71.7196,1
1.517506,3.56955,73.0188,1
1.517551,3.74017,72.9908,1
1.51762,3.53812,73.2372,1
1.526663,3.69976,71.5684,1
1.517415,3.61894,73.0804,1
1.527255,3.15198,70.5716,2
1.526139,0,71.238,2
1.515934,3.592,73.0972,2
1.518417,3.61894,72.3412,2
1.516868,3.53812,72.8396,2
1.515911,3.57853,73.1196,2
1.515911,3.34056,73.0972,2
1.520672,2.08785,72.1788,2
1.51664,3.44832,72.4812,3
1.517688,3.65935,72.7724,3
1.521196,0.32777,73.3884,5
1.519374,2.41113,72.7612,6
1.511309,3.20137,72.8116,7
1.516162,0,73.2988,7
1.516025,0,73.282,7
