@relation titanic
@attribute Class real [-1.87, 0.965]     
@attribute Sex real [-1.92, 0.521]    
@attribute Survived {-1.0, 1.0}          
@inputs Class, Sex
@outputs Survived
@data
-1.87,0.521,-1.0
-0.923,-1.92,1.0
0.965,-1.92,1.0
0.965,0.521,1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
-0.923,0.521,-1.0
0.965,0.521,1.0
0.965,0.521,1.0
-0.923,-1.92,-1.0
0.0214,-1.92,1.0
0.965,0.521,-1.0
-1.87,0.521,-1.0
0.965,0.521,-1.0
-1.87,-1.92,1.0
0.965,0.521,1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,1.0
0.0214,0.521,-1.0
0.0214,-1.92,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
-0.923,0.521,1.0
0.0214,0.521,-1.0
0.0214,-1.92,1.0
0.965,0.521,-1.0
0.0214,-1.92,-1.0
0.965,0.521,1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,1.0
-1.87,-1.92,1.0
0.965,0.521,-1.0
-1.87,0.521,-1.0
-1.87,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,-1.0
0.965,0.521,1.0
0.965,0.521,-1.0
-0.923,-1.92,1.0
0.0214,0.521,-1.0
-1.87,-1.92,1.0
0.0214,-1.92,-1.0
0.0214,0.521,-1.0
0.965,0.521,1.0
-1.87,0.521,-1.0
-0.923,0.521,-1.0
0.0214,0.521,-1.0
-1.87,-1.92,1.0
-0.923,0.521,-1.0
0.0214,0.521,-1.0
-1.87,-1.92,1.0
0.965,0.521,1.0
0.965,0.521,1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
-0.923,-1.92,1.0
0.0214,-1.92,1.0
0.0214,-1.92,1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
-1.87,0.521,1.0
0.965,0.521,-1.0
-1.87,0.521,-1.0
-1.87,-1.92,1.0
-1.87,-1.92,1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
-1.87,-1.92,1.0
-1.87,-1.92,1.0
0.0214,0.521,1.0
-1.87,-1.92,1.0
0.965,0.521,-1.0
-1.87,-1.92,-1.0
0.965,0.521,1.0
0.0214,-1.92,1.0
-1.87,-1.92,1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
-1.87,-1.92,1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
-1.87,-1.92,1.0
0.965,0.521,1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
-0.923,-1.92,1.0
-0.923,-1.92,1.0
0.0214,0.521,-1.0
-1.87,0.521,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
-0.923,0.521,-1.0
-1.87,-1.92,1.0
0.965,0.521,1.0
0.0214,0.521,-1.0
-1.87,0.521,1.0
-1.87,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,-1.0
-0.923,0.521,-1.0
0.0214,-1.92,1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.0214,-1.92,-1.0
0.0214,-1.92,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.0214,-1.92,1.0
-0.923,0.521,-1.0
-1.87,0.521,-1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.0214,0.521,-1.0
-0.923,-1.92,1.0
0.0214,-1.92,1.0
0.0214,0.521,-1.0
0.0214,0.521,1.0
0.0214,-1.92,-1.0
-1.87,-1.92,1.0
-1.87,-1.92,1.0
0.0214,0.521,-1.0
0.0214,-1.92,1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,1.0
0.0214,0.521,-1.0
0.965,0.521,1.0
0.0214,0.521,-1.0
-0.923,0.521,-1.0
-0.923,-1.92,1.0
0.965,0.521,1.0
-0.923,0.521,-1.0
0.0214,0.521,-1.0
-0.923,-1.92,1.0
0.0214,-1.92,-1.0
0.0214,0.521,1.0
-0.923,0.521,-1.0
0.0214,-1.92,-1.0
0.0214,-1.92,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
-1.87,0.521,-1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,-1.92,-1.0
0.0214,0.521,1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
-0.923,0.521,-1.0
0.965,0.521,-1.0
0.965,-1.92,1.0
0.965,0.521,-1.0
0.965,0.521,1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
-1.87,0.521,1.0
0.0214,0.521,-1.0
0.965,0.521,1.0
0.965,0.521,-1.0
-0.923,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,1.0
0.0214,0.521,1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
-0.923,0.521,-1.0
-1.87,0.521,-1.0
-1.87,0.521,1.0
-0.923,0.521,-1.0
0.0214,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.965,0.521,-1.0
0.0214,0.521,-1.0
-1.87,0.521,-1.0
0.965,0.521,-1.0
-0.923,-1.92,1.0
0.0214,0.521,-1.0
0.0214,0.521,-1.0
0.0214,0.521,1.0
0.965,0.521,-1.0
0.0214,-1.92,1.0
0.965,0.521,-1.0
-0.923,-1.92,1.0
