@relation titanic
@attribute Sex real [-1.92, 0.521]    
@attribute Survived {-1.0, 1.0}          
@inputs Sex
@outputs Survived
@data
0.521,1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
0.521,1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,1.0
0.521,1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
0.521,1.0
-1.92,-1.0
0.521,-1.0
-1.92,1.0
-1.92,1.0
-1.92,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
-1.92,1.0
0.521,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
-1.92,-1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
-1.92,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
-1.92,1.0
-1.92,-1.0
-1.92,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
-1.92,1.0
-1.92,1.0
0.521,1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
-1.92,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
-1.92,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,1.0
-1.92,-1.0
-1.92,-1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
-1.92,1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
-1.92,1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,1.0
0.521,-1.0
0.521,-1.0
